Id,SalePrice
1461,124897.0
1462,150368.0
1463,161132.0
1464,176543.0
1465,218384.0
1466,178730.0
1467,164319.0
1468,168060.0
1469,186006.0
1470,118857.0
1471,194064.0
1472,107670.0
1473,101320.0
1474,160607.0
1475,156697.0
1476,447726.0
1477,283138.0
1478,321928.0
1479,297648.0
1480,492768.0
1481,323252.0
1482,226488.0
1483,175538.0
1484,180248.0
1485,164437.0
1486,198120.0
1487,343853.0
1488,262085.0
1489,200498.0
1490,186570.0
1491,194481.0
1492,107437.0
1493,175166.0
1494,310722.0
1495,295842.0
1496,211577.0
1497,193202.0
1498,164014.0
1499,164014.0
1500,152283.0
1501,172889.0
1502,156667.0
1503,302457.0
1504,227434.0
1505,218261.0
1506,208277.0
1507,232702.0
1508,203160.0
1509,165548.0
1510,149443.0
1511,149443.0
1512,169306.0
1513,167074.0
1514,149931.0
1515,193554.0
1516,162951.0
1517,141631.0
1518,164977.0
1519,208093.0
1520,139731.0
1521,141761.0
1522,173409.0
1523,121540.0
1524,121831.0
1525,124318.0
1526,127018.0
1527,85901.0
1528,126916.0
1529,149342.0
1530,166132.0
1531,112568.0
1532,96789.0
1533,156776.0
1534,127363.0
1535,141949.0
1536,117617.0
1537,81136.0
1538,185714.0
1539,201190.0
1540,116060.0
1541,145978.0
1542,139852.0
1543,219145.0
1544,83699.0
1545,111623.0
1546,122479.0
1547,132592.0
1548,135634.0
1549,100804.0
1550,142339.0
1551,125323.0
1552,128081.0
1553,128709.0
1554,117974.0
1555,160284.0
1556,111557.0
1557,124704.0
1558,100767.0
1559,109769.0
1560,137154.0
1561,158714.0
1562,123712.0
1563,123367.0
1564,160742.0
1565,147805.0
1566,193297.0
1567,89389.0
1568,202912.0
1569,121274.0
1570,113764.0
1571,126373.0
1572,138720.0
1573,242519.0
1574,151072.0
1575,196801.0
1576,195014.0
1577,200498.0
1578,139155.0
1579,138599.0
1580,192491.0
1581,134329.0
1582,130112.0
1583,325306.0
1584,236517.0
1585,144087.0
1586,69109.0
1587,98816.0
1588,141659.0
1589,109515.0
1590,138689.0
1591,106374.0
1592,126092.0
1593,126325.0
1594,165257.0
1595,124241.0
1596,250085.0
1597,177444.0
1598,184003.0
1599,200147.0
1600,208811.0
